repository,issue_count,comment_count,unique_users,open_issues,first_issue,last_issue
WontonSam/qsharp,34,28,3,34,2024-06-07,2024-10-12
rickyzcode/qiskit-terra,16,11,1,5,2022-06-14,2023-03-27
KOSASIH/QuantumMesh,2,0,2,2,2024-03-17,2024-09-03
nirajvenkat/qsharp,1,1,1,0,2024-06-13,2024-06-13
alejomonbar/qiskit-tutorials,1,0,1,0,2020-12-01,2020-12-01
uJhin/OpenFermion,1,0,1,1,2022-05-24,2022-05-24
entropicalabs/openqaoa,321,488,46,25,2022-04-25,2024-08-27
alpine-quantum-technologies/Cirq,1,3,2,0,2024-01-24,2024-01-24
ElePT/qiskit,34,48,6,4,2022-06-17,2024-07-03
kbarkhqs/qoqo_aqt,1,0,1,0,2022-03-11,2022-03-11
ShellyGarion/qiskit-terra,27,1,4,0,2021-09-23,2021-12-13
stanfordLINQS/SQcircuit,37,42,18,7,2022-03-31,2024-08-15
QuTech-Delft/qilib,116,36,13,2,2019-02-15,2023-03-31
thomascherickal/strawberryfields,1,0,1,0,2020-12-17,2020-12-17
sarvex/qiskit-experiments,1,0,1,1,2024-01-11,2024-01-11
paulineollitrault/qiskit-aer,5,0,1,0,2021-01-11,2021-09-06
junyeeeeeeeeee/Quela_Qblox,58,0,4,0,2023-12-21,2024-09-30
uJhin/OpenQL,1,0,1,1,2022-07-11,2022-07-11
verult/Cirq,17,18,3,0,2019-03-27,2023-07-31
fermioniq/cuda-quantum,5,1,1,1,2024-09-23,2024-10-11
schnjaso2/Cirq,27,0,2,27,2021-01-12,2023-07-26
westoun/quasim,1,1,2,0,2024-07-03,2024-07-03
kaelynj/qiskit-terra,19,13,2,5,2021-12-15,2023-03-06
PayalSolanki2906/qiskit-terra,1,0,1,0,2023-04-12,2023-04-12
FabianaCampanari/qiskit,9,1,3,1,2024-09-03,2024-09-30
BBN-Q/pyqgl2,57,54,6,40,2017-04-11,2019-10-11
lanl/QA-Prolog,3,19,3,0,2019-10-07,2024-01-13
abhik-99/Cirq,1,0,1,0,2020-08-14,2020-08-14
nkanazawa1989/qiskit-experiments,10,1,4,4,2021-07-15,2023-07-26
Clare-hash/dwave-ocean-sdk,1,0,1,1,2022-08-09,2022-08-09
nunofernandes-plight/quantum-fog,1,0,1,1,2021-02-20,2021-02-20
hixio-mh/Lib-quantum,8,4,1,4,2022-06-23,2022-12-08
qiskit-community/ffsim,337,65,10,37,2023-08-21,2024-10-30
Bchass/toqito,5,0,1,0,2023-12-31,2024-04-09
sohailc/Qcodes,203,184,3,16,2017-11-22,2023-01-19
jaeyoo/qsim,12,1,1,0,2021-08-05,2023-03-30
maghamalyan/em-pyquil,11,0,1,0,2021-06-18,2023-07-25
t-imamichi/qiskit-ibm-runtime,2,0,2,0,2024-03-21,2024-04-12
teubert/hybridq,1,0,1,1,2021-10-25,2021-10-25
rmoyard/pennylane,1,0,1,0,2021-06-07,2021-06-07
junnaka51/quantestpy,12,0,1,4,2022-12-30,2023-01-12
SaashaJoshi/pennylane,1,0,1,1,2024-05-31,2024-05-31
gcattan/pyRiemann-qiskit,39,17,2,1,2021-09-28,2024-10-28
idk3/OpenFermion,3,0,1,0,2018-03-20,2018-04-26
awsch/qick-spin,7,1,2,0,2023-06-02,2023-11-14
quantumlib/Cirq,6766,16650,549,285,2018-01-09,2024-10-29
ColbyDeLisle/quizx,1,0,1,0,2024-10-21,2024-10-21
Babalion/qutip,1,0,1,0,2021-11-17,2021-11-17
carstenblank/dc-qiskit-stochastics,5,1,1,2,2022-05-26,2022-11-02
sqdlab/Qcodes,3,0,3,0,2019-02-05,2020-04-24
